sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Pugh Olavarría, Kenneth",2021-07-05,45,Video conferencia,Saludo protocolar y comentarios al proyecto de ley sobre control de armas.,"Gamboa, Cristian; Cortes Castro, Luis Ivan",ANTRA
"Allende Bussi, Isabel",2021-07-01,45,Videollamada,"Presentación del Nuevo Proyecto de la Fundación Arturo López Pérez en Viña del Mar , V Región.","Ayala Munita, Cristián",Fundación Arturo López Pérez
"Ebensperger Orrego, Luz Eliana",2021-06-26,20,Vía Zoom,"Don Marcelo Galvez,  Presidente de la Asociación Chilena Radiológica,  y don Sergio Calcagno Zuleta,  presentan su preocupación al proyecto Ley en discusión en Comisión de Salud del Senado sobre regulación de precios de exámenes de laboratorio y radiológicos. Su visión a este proyecto es cómo afectará la actividad médica de esta especialidad particularmente en la calidad y fuga de profesionales de área,  del sistema público ante lo cual piden ayuda área para ser escuchados en dicha comisión.","Galvez, Marcelo; Calcagno Zuleta, Sergio",SOCIEDAD CHILENA DE RADIOLOGIA A.G.
"Ebensperger Orrego, Luz Eliana",2021-06-26,20,"oficina Parlamentaria, Iquique","Don José Del Mas Radic,  socio del Club Aéreo de Iquique quien solicita ayuda frente a presentación realizada a la Presidencia de la República por postulación de fondos a subvención que busca contar con recursos para mejoras en infraestructura de sus instalaciones.  El Club Aéreo,  quienes siempre han estado disponibles en situaciones de rescate y ayuda a la comunidad,  sobre todo en estos tiempos de pandemia,  hoy requieren mejorar sus recursos en pro de la comunidad.","DEL MAS RADIC, JOSE GERONIMO",JOSE DEL MAS RADIC
"Araya Guerrero, Pedro",2021-06-17,80,Video Conferencia,"Proyecto de ley de indulto general por razones humanitarias.
Acompañan en la reunión el Asesor Roberto Godoy y el Periodista Pedro Lezaeta","Rivas, Ruben; María José, María José; VERDUGO URRUTIA, MARIA VERONICA; Denis Fuenzalida, Pabla; Ulloa Gonzalez, Jorge Antonio; Duran, Osvado; quezada, maria soledad; Vidal, Ximena; Fuentes, Jaime; Andrade, Hugo",Ruben Rivas
"De Smet d Olbecke Casanova, Pascal",2021-06-17,80,Video Conferencia,Presentación de plataforma DOM Digital.,"Lozano, Rodrigo",ITSolutions
"Ebensperger Orrego, Luz Eliana",2021-06-15,45,Oficina del  Congreso Nacional ValparaÃ­so,"A la reunión asistieron el Presidente de Asilfa Sr. Julio Jiménez y el Vicepresidente Sr. Elmer Torres quienes hicieron una presentación a través de un power point sobre su posición respecto a la regulación precios que se está viendo en la comisión mixta de Fármacos II, en especial, hicieron ver que solicitaron la reunión porque la comisión mixta no los ha querido escuchar, donde ellos han solicitado reiteradamente ser oídos y que publicaron un inserto en un medio de comunicación que explicaron los 4 puntos que planean:
1. Se refiere al gasto de bolsillo de medicamento es muy en Chile en relación a otros países de la OCDE.
2. Exponen que el precio de los medicamentos en Chile, sería el más caro en el mundo respecto a lo cual señalan que eso es falso.
3. La incorporación de regulación de precios a la ley de Fármacos II, generará una baja generalizada en los precios de los medicamentos en Chile, explicando que esta afirmación también es falsa.
4. Expusieron que creen que no es efectivo que la ley de Fármacos II permitirá al médico tratante decidir la mejor alternativa de tratamiento de acuerdo a la condición y situación en particular de cada paciente, fomentando así el empoderamiento de este en su tratamiento. Finalmente quedaron en hacer llegar dicha presentación.","Torres, Elmer; Jiménez Doñas, Julio",Asociación Industrial de Laboratorios Farmacéuticos
"Ebensperger Orrego, Luz Eliana",2021-06-11,30,ZOOM,"Reunión realizada vía zoom dónde participaron las siguientes personas: Senadora Luz Ebensperger Orrego,  Directivos de la Asociación Nacional de Funcionarios y Funcionarias del  INSTITUTO NACIONAL DE ESTADÍSTICAS,  según el siguiente detalle: Sra.   Haleyda Guevara Flores, Presidenta ANFINE TARAPACÁ; Sra. Elba Espinoza González Tesorera ANFINE TARAPACÁ; Alexis Díaz Moya, Secretario General.,  donde expusieron sobre el Proyeto que etá en Comisión de Hacienda del Senado, que establece  la autonomía de dicho Servicio, señalando en términos generales estar de acuerdo con el proyecto y que sólo tienen aprensiones sobre el artículo 20 y 6 transitorio; ya que creen necesario establecer esta nueva planta  para estenuevo servicio autónomo,  donde  los funcionarios sean escuchados y tengan algún tipo de participación,  reconociendo que no quieren una co-administración,  sino que  sólo ser escuchados para que se guarde debidamente los derechos de los funcionarios actuales.","GUEVARA FLORES, HALEYDA THANYA; ESPINOZA GONZALEZ, ELBA DENISSE; Díaz Moyá, Alexis; González Barriga, Marcelo Alejandro",ASOC NACIONAL DE FUNCIONARIOS DE ESTADISTICA Y CENSOS
"Araya Guerrero, Pedro",2021-06-10,40,Video Conferencia,"Proyectos de Reforma a la Justicia Civil.
Asisten a la reunión el Asesor Roberto Godoy y el periodista Pedro Lezaeta","Mendoza Sepulveda, Karin Alejandra; Avila Cesani, Gema; Maldonado Mansilla, Isabel Alejandra; Herrera, Marianela; GNECCO VITALE, AMADEO FRANCISCO; Ortiz, Eliana",Asociación Nacional de Empleados del Poder Judicial
"Pugh Olavarría, Kenneth",2021-06-08,45,Video conferencia,"Saludo protocolar y presentación de plataforma gemelo digital, herramienta tecnológica para centro de cultivo.","Rivera Onetto, Cristian Dario; ARAOS MANCILLA, CRISTIAN JORGE; Rivera Soto, Sergio Ricardo",AMERCIAN DIGITAL TWINS SpA
