seccion,titular,enlace_noticia
Sociedad,Feminismo: 55% de las personas en Chile está de acuerdo con los planteamientos del movimiento,https://www.latercera.com/que-pasa/noticia/feminismo-55-de-las-personas-en-chile-esta-de-acuerdo-con-los-planteamientos-del-movimiento/HM7QHBHIPFCHTCDYDZ2XBOFWOQ/
LT Domingo,Catherine Millet: “Nuestra crítica al #MeToo era al encierro de la mujer en el papel de víctima”,https://www.latercera.com/culto/2021/05/01/catherine-millet-nuestra-critica-al-metoo-era-al-encierro-de-la-mujer-en-el-papel-de-victima/
Día de la Madre,"Doce libros para regalarle a mamá (según escritoras, editoras y madres)",https://www.latercera.com/practico/noticia/doce-libros-para-regalarle-a-mama-segun-escritoras-editoras-y-madres/5XKTBC2T2NGTJEHMGLKQCB2MOA/
Libros,Reseñas de libros: De Oliver Sacks a Arelis Uribe,https://www.latercera.com/culto/2021/04/09/resenas-de-libros-de-oliver-sacks-a-arelis-uribe/
LT Domingo,Jordan B. Peterson volvió desde el abismo: “Muestra gratitud a pesar de tu sufrimiento”,https://www.latercera.com/la-tercera-domingo/noticia/jordan-b-peterson-volvio-desde-el-abismo-muestra-gratitud-a-pesar-de-tu-sufrimiento/JEE6PKONAJFIVLIQVM45UN24OI/
LT Sábado,Reseñas de libros: de Rebecca Solnit a Claudio Bertoni,https://www.latercera.com/culto/2021/03/27/resenas-de-libros-de-rebecca-solnit-a-claudio-bertoni/
LT Domingo,"Guadalupe Nettel: “Estamos comenzando a cambiar el mundo, pero falta mucho para lograrlo”",https://www.latercera.com/culto/2021/03/21/guadalupe-nettel-estamos-comenzando-a-cambiar-el-mundo-pero-falta-mucho-para-lograrlo/
LT Sábado,Ayaan Hirsi  Ali: “Ahora algunas mujeres europeas esconden sus cuerpos para evitar el acoso”,https://www.latercera.com/la-tercera-sabado/noticia/ayaan-hirsi-ali-ahora-algunas-mujeres-europeas-esconden-sus-cuerpos-para-evitar-el-acoso/FKXPHOIQB5GHDNEZFIRKKNUJEU/
8M,Así se vivió el Día Internacional de la Mujer en el mundo,https://www.latercera.com/la-tercera-tv/noticia/asi-se-vivio-el-dia-internacional-de-la-mujer-en-el-mundo/GTGWIWR6G5DB5ALOJSQOSVEEHA/
Sociedad,"Apenas un 45,9% de los hombres cree que aún existen barreras que impiden el desarrollo de las mujeres en Chile",https://www.latercera.com/que-pasa/noticia/apenas-un-459-de-los-hombres-cree-que-aun-existen-barreras-que-impiden-el-desarrollo-de-las-mujeres-en-chile/HX2HJX26BFFLNEE3SK7PMWH2SY/
Red de Acción Carcelaria,La cruzada de un grupo de mujeres que busca suplir la carencia de artículos de higiene en las cárceles femeninas,https://www.latercera.com/la-tercera-tv/noticia/la-cruzada-de-un-grupo-de-mujeres-que-busca-suplir-la-carencia-de-articulos-de-higiene-en-las-carceles-femeninas/TOHA4JF7UBCJLOFIFT5LNCMNWU/
