anio,inscritos_anio
1960,262708
1961,269674
1962,281824
1963,284892
1964,290150
1965,318918
1966,319398
1967,306203
1968,298018
1969,286111
1970,285332
1971,320520
1972,317723
1973,315988
1974,306780
1975,293183
1976,276560
1977,264495
1978,261799
1979,271230
1980,285493
1981,318915
1982,329172
1983,319468
1984,278654
1985,267380
1986,275826
1987,280634
1988,299325
1989,304734
1990,310549
1991,303624
1992,298205
1993,294778
1994,291325
1995,281800
1996,280767
1997,272803
1998,267277
1999,259131
2000,254405
2001,252218
2002,243703
2003,238715
2004,233531
2005,233137
2006,233147
2007,241677
2008,248056
2009,253328
2010,251125
2011,248873
2012,244001
2013,242859
2014,252195
2015,245647
2016,232843
2017,219269
2018,222633
2019,211382
